Id,Stage Name,Real Name (Korean),Group Name,Group Debut Year,Entertainment,Active,Roles,Height,Weight,Blood Type,Birth Date,Nationality,Personal IG,Group IG,Favorite
1,Jungkook,Jeon Jungkook,Bts,2013,Big Hit,TRUE,"Main Vocalist, Lead Dancer, Sub Rapper, Center, Maknae",178,66,A,1/9/1997,South Korean,None,bts.bighitofficial,FALSE
2,V,Kim Tae-hyung,Bts,2013,Big Hit,TRUE,"Lead Dancer, Sub Vocalist, Visual",180,63,AB,30/12/1995,South Korean,None,bts.bighitofficial,FALSE
3,Jimin,Park Jimin,Bts,2013,Big Hit,TRUE,"Main Dancer, Lead Vocalist",174,58.6,A,13/10/1995,South Korean,None,bts.bighitofficial,FALSE
4,Suga,Min Yoongi,Bts,2013,Big Hit,TRUE,Lead Rapper,174,59,O,9/3/1993,South Korean,None,bts.bighitofficial,FALSE
5,Jin,Kim Seokjin,Bts,2013,Big Hit,TRUE,"Sub Vocalist, Visual",178.3,63,O,4/12/1992,South Korean,None,bts.bighitofficial,FALSE
6,RM,Kim Namjoon,Bts,2013,Big Hit,TRUE,"Leader, Main Rapper",181,73.6,A,12/9/1994,South Korean,None,bts.bighitofficial,FALSE
7,J-hope,Jung Hoseok,Bts,2013,Big Hit,TRUE,"Main Dancer, Sub Rapper, Sub Vocalist",177,65,A,18/2/1994,South Korean,None,bts.bighitofficial,FALSE
8,Jay,Kim Jin Hwan,Ikon,2015,YG,TRUE,"Main Vocalist, Lead Dancer",165,,A,7/2/1994,South Korean,gnani_____,withikonic,FALSE
9,Song ,Song Yoon Hyung ,Ikon,2015,YG,TRUE,"Sub Vocalist, Visual, Center",175,58,A,8/2/1995,South Korean,sssong_yh,withikonic,FALSE
10,Bobby,Kim Ji Won,Ikon,2015,YG,TRUE,"Main Rapper, Sub Vocalist, Face of the Group",176,70,O,21/12/1995,South Korean,bobbyindaeyo,withikonic,FALSE
11,DK,Kim Dong Hyuk,Ikon,2015,YG,TRUE,"Main Dancer, Sub Vocalist",173,62,O,3/1/1997,South Korean,_dong_ii,withikonic,FALSE
12,Ju-ne,Koo Jun Hoe,Ikon,2015,YG,TRUE,"Main Vocalist, Lead Dancer",183,68,A,31/3/1997,South Korean,juneeeeeeya,withikonic,FALSE
13,Chan ,Jung Chan Woo,Ikon,2015,YG,TRUE,"Sub Vocalist, Maknae",181,65,A,26/1/1998,South Korean,chan_w000,withikonic,FALSE
14,B.I,Kim Han Bin,Ikon,2015,YG,TRUE,"Leader, Main Dancer, Lead Rapper, Sub Vocalist",175.5,60,O,22/10/1996,South Korean,shxxbi131,withikonic,FALSE
15,S.Coups,Choi Seung Cheol,Seventeen,2015,Pledis,TRUE,"Leader, Hip Hop Team Leader, Main Rapper, Sub Vocalist",178,65,AB,8/8/1995,South Korean,sound_of_coups,saythename_17,FALSE
16,Jeonghan ,Yoon Jeong Han,Seventeen,2015,Pledis,TRUE,"Lead Vocalist, Visual",178,62,B,4/8/1995,South Korean,None,saythename_18,FALSE
17,Joshua,Hong Ji Soo,Seventeen,2015,Pledis,TRUE,"Lead Vocalist, Visual",177,60,A,30/12/1995,South Korean - American,joshuahong951230,saythename_19,FALSE
18,Jun,Moon Jun Hwi,Seventeen,2015,Pledis,TRUE,"Lead Dancer, Sub Vocalist",182,66,B,10/6/1996,Chinese,None,saythename_20,FALSE
19,Hoshi,Kwon Soon Young,Seventeen,2015,Pledis,TRUE,"Performance Team Leader, Main Dancer, Lead Vocalist, Sub Rapper",177,61,B,15/6/1996,South Korean,None,saythename_21,FALSE
20,Wonwoo,Jeon Won Woo,Seventeen,2015,Pledis,TRUE,"Lead Rapper, Sub Vocalist",182,63,A,17/7/1996,South Korean,None,saythename_22,FALSE
21,Woozi,Lee Ji Hoon,Seventeen,2015,Pledis,TRUE,"Vocal Team Leader, Lead Vocalist, Producer",164,53,A,22/11/1996,South Korean,woozi_universefactory,saythename_23,FALSE
22,DK / Dokyeom,Lee Seok Min,Seventeen,2015,Pledis,TRUE,Main Vocalist,179,66,O,18/2/1997,South Korean,None,saythename_24,FALSE
23,Mingyu,Kim Min Gyu,Seventeen,2015,Pledis,TRUE,"Lead Rapper, Sub Vocalist, Visual, Face of the Group",187,70,B,6/4/1997,South Korean,min9yu_k,saythename_25,FALSE
24,The8 ,Seo Myung Ho,Seventeen,2015,Pledis,TRUE,"Lead Dancer, Sub Vocalist, Sub Rapper",178,58,O,7/11/1997,Chinese,xuminghao_o,saythename_26,FALSE
25,Seungkwan,Boo Seung Kwan,Seventeen,2015,Pledis,TRUE,"Main Vocalist, Face of the Group",174,58,B,16/1/1998,South Korean,pledis_boos,saythename_27,FALSE
