Id,Stage Name,Real Name (Korean),Group Name,Group Debut Year,Entertainment,Active,Roles,Height,Weight,Blood Type,Birth Date,Nationality,Personal IG,Group IG
1,Jungkook,Jeon Jungkook,Bts,2013,Big Hit,TRUE,"Main Vocalist, Lead Dancer, Sub Rapper, Center, Maknae",178,66,A,1/9/1997,South Korean,None,bts.bighitofficial
2,V,Kim Tae-hyung,Bts,2013,Big Hit,TRUE,"Lead Dancer, Sub Vocalist, Visual",180,63,AB,30/12/1995,South Korean,None,bts.bighitofficial
3,Jimin,Park Jimin,Bts,2013,Big Hit,TRUE,"Main Dancer, Lead Vocalist",174,58.6,A,13/10/1995,South Korean,None,bts.bighitofficial
4,Suga,Min Yoongi,Bts,2013,Big Hit,TRUE,Lead Rapper,174,59,O,9/3/1993,South Korean,None,bts.bighitofficial
5,Jin,Kim Seokjin,Bts,2013,Big Hit,TRUE,"Sub Vocalist, Visual",178.3,63,O,4/12/1992,South Korean,None,bts.bighitofficial
6,RM,Kim Namjoon,Bts,2013,Big Hit,TRUE,"Leader, Main Rapper",181,73.6,A,12/9/1994,South Korean,None,bts.bighitofficial
7,J-hope,Jung Hoseok,Bts,2013,Big Hit,TRUE,"Main Dancer, Sub Rapper, Sub Vocalist",177,65,A,18/2/1994,South Korean,None,bts.bighitofficial
8,Jay,Kim Jin Hwan,Ikon,2015,,,,,,,,,,
9,Song ,Song Yoon Hyung ,Ikon,2015,,,,,,,,,,
10,Bobby,Kim Ji Won,Ikon,2015,,,,,,,,,,
11,DK,Kim Dong Hyuk,Ikon,2015,,,,,,,,,,
12,Ju-ne,Koo Jun Hoe,Ikon,2015,,,,,,,,,,
13,Chan ,Jung Chan Woo,Ikon,2015,,,,,,,,,,
14,B.I,Kim Han Bin,Ikon,2015,,,,,,,,,,
15,S.Coups,Choi Seung Cheol,Seventeen,2015,,,,,,,,,,
16,Jeonghan ,Yoon Jeong Han,Seventeen,2015,,,,,,,,,,
17,Joshua,Hong Ji Soo,Seventeen,2015,,,,,,,,,,
18,Jun,Moon Jun Hwi,Seventeen,2015,,,,,,,,,,
19,Hoshi,Kwon Soon Young,Seventeen,2015,,,,,,,,,,
20,Wonwoo,Jeon Won Woo,Seventeen,2015,,,,,,,,,,
21,Woozi,Lee Ji Hoon,Seventeen,2015,,,,,,,,,,
22,DK / Dokyeom,Lee Seok Min,Seventeen,2015,,,,,,,,,,
23,Mingyu,Kim Min Gyu,Seventeen,2015,,,,,,,,,,
24,The8 ,Seo Myung Ho,Seventeen,2015,,,,,,,,,,
25,Seungkwan,Boo Seung Kwan,Seventeen,2015,,,,,,,,,,
26,Vernon,Choi Han Sol,Seventeen,2015,,,,,,,,,,
27,Dino,Lee Chan,Seventeen,2015,,,,,,,,,,
28,Jay B,Im Jae Beom,Got7,2014,,,,,,,,,,
29,Mark,Dong Yi Eun,Got7,2014,,,,,,,,,,
30,Jackson,,Got7,2014,,,,,,,,,,
31,Jinyoung,Park Jin Young,Got7,2014,,,,,,,,,,
32,Youngjae,Choi Young Jae,Got7,2014,,,,,,,,,,
33,BamBam,,Got7,2014,,,,,,,,,,
34,Yugyeom,Kim Yu Gyeom,Got7,2014,,,,,,,,,,
35,Jihyo,Park Ji Soo,Twice,2015,JYP,TRUE,"Leader, Main Vocalist",162,56,O,1/2/1997,South Korean,None,twicetagram
36,Nayeon,Im Na Yeon,Twice,2015,JYP,TRUE,"Lead Vocalist, Lead Dancer, Center",163,47,A,22/9/1995,South Korean,None,twicetagram
37,Jeongyeon,Yoo Kyung Wan,Twice,2015,JYP,TRUE,Lead Vocalist,169,49.1,O,1/11/1996,South Korean,None,twicetagram
38,Momo,,Twice,2015,JYP,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper",167,48.5,A,9/11/1996,Japanese,None,twicetagram
39,Sana,,Twice,2015,JYP,TRUE,Sub Vocalist,168,47,B,29/12/1996,Japanese,None,twicetagram
40,Mina,,Twice,2015,JYP,TRUE,"Main Dancer, Sub Vocalist",163,46,A,24/3/1997,Japanese-American,None,twicetagram
41,Dahyun,Kim Da Hyun,Twice,2015,JYP,TRUE,"Lead Rapper, Sub Vocalist",165,48.9,O,28/5/1998,South Korean,None,twicetagram
42,Chaeyoung,Son Chae Young,Twice,2015,JYP,TRUE,"Main Rapper, Sub Vocalist",163,46,B,23/4/1999,South Korean,None,twicetagram
43,Tzuyu,Chou Tzu Yu,Twice,2015,JYP,TRUE,"Lead Dancer, Sub Vocalist, Visual, Maknae",170,48,A,14/6/1999,Taiwanese,None,twicetagram
44,Jisoo,Kim Ji Soo,Blackpink,2016,YG,TRUE,"Lead Vocalist, Visual",162,44,A,3/1/1995,South Korean,sooyaaa__,blackpinkofficial
45,Jennie,Kim Jennie,Blackpink,2016,YG,TRUE,"Main Rapper, Lead Vocalist",163,45,B,16/1/1996,South Korean,jennierubyjane,blackpinkofficial
46,Rosé,Park Chae Young,Blackpink,2016,YG,TRUE,"Main Vocalist, Lead Dancer",168.7,44,B,11/2/1997,South Korean,roses_are_rosie,blackpinkofficial
47,Lisa,,Blackpink,2016,YG,TRUE,"Main Dancer, Lead Rapper, Sub Vocalist, Maknae",166.5,44.7,O,27/3/1997,Thai,lalalalisa_m,blackpinkofficial
48,Irene,Bae Ju Hyun,Red Velvet,2014,SM,TRUE,"Leader, Main Rapper, Lead Dancer, Sub Vocalist, Visual, Center",160,44,A,29/3/1991,South Korean,renebaebae,redvelvet.smtown
49,Wendy,Son Seung Wan,Red Velvet,2014,SM,TRUE,Main Vocalist,160,47,O,21/2/1994,South Korean,todayis_wendy,redvelvet.smtown
50,Seulgi,Kang Seul Gi,Red Velvet,2014,SM,TRUE,"Main Dancer, Lead Vocalist",164,44,A,10/2/1994,South Korean,hi_sseulgi,redvelvet.smtown
