Id,Stage Name,Real Name (Korean),Group Name,Group Debut Year,Active
1,Jungkook,Jeon Jungkook,Bts,2013,TRUE
2,V,Kim Tae-hyung,Bts,2013,TRUE
3,Jimin,Park Jimin,Bts,2013,TRUE
4,Suga,Min Yoongi,Bts,2013,TRUE
5,Jin,Kim Seokjin,Bts,2013,TRUE
6,RM,Kim Namjoon,Bts,2013,TRUE
7,J-hope,Jung Hoseok,Bts,2013,TRUE
8,Jay,Kim Jin Hwan,Ikon,2015,TRUE
9,Song ,Song Yoon Hyung ,Ikon,2015,TRUE
10,Bobby,Kim Ji Won,Ikon,2015,TRUE
11,DK,Kim Dong Hyuk,Ikon,2015,TRUE
12,Ju-ne,Koo Jun Hoe,Ikon,2015,TRUE
13,Chan ,Jung Chan Woo,Ikon,2015,TRUE
14,B.I,Kim Han Bin,Ikon,2015,TRUE
15,S.Coups,Choi Seung Cheol,Seventeen,2015,TRUE
16,Jeonghan ,Yoon Jeong Han,Seventeen,2015,TRUE
17,Joshua,Hong Ji Soo,Seventeen,2015,TRUE
18,Jun,Moon Jun Hwi,Seventeen,2015,TRUE
19,Hoshi,Kwon Soon Young,Seventeen,2015,TRUE
20,Wonwoo,Jeon Won Woo,Seventeen,2015,TRUE
21,Woozi,Lee Ji Hoon,Seventeen,2015,TRUE
22,DK / Dokyeom,Lee Seok Min,Seventeen,2015,TRUE
23,Mingyu,Kim Min Gyu,Seventeen,2015,TRUE
24,The8 ,Seo Myung Ho,Seventeen,2015,TRUE
25,Seungkwan,Boo Seung Kwan,Seventeen,2015,TRUE
26,Vernon,Choi Han Sol,Seventeen,2015,TRUE
27,Dino,Lee Chan,Seventeen,2015,TRUE
28,Jay B,Im Jae Beom,Got7,2014,TRUE
29,Mark,Dong Yi Eun,Got7,2014,TRUE
30,Jackson,,Got7,2014,TRUE
31,Jinyoung,Park Jin Young,Got7,2014,TRUE
32,Youngjae,Choi Young Jae,Got7,2014,TRUE
33,BamBam,,Got7,2014,TRUE
34,Yugyeom,Kim Yu Gyeom,Got7,2014,TRUE
35,Jihyo,Park Ji Soo,Twice,2015,TRUE
36,Nayeon,Im Na Yeon,Twice,2015,TRUE
37,Jeongyeon,Yoo Kyung Wan,Twice,2015,TRUE
38,Momo,,Twice,2015,TRUE
39,Sana,,Twice,2015,TRUE
40,Mina,,Twice,2015,TRUE
41,Dahyun,Kim Da Hyun,Twice,2015,TRUE
42,Chaeyoung,Son Chae Young,Twice,2015,TRUE
43,Tzuyu,Chou Tzu Yu,Twice,2015,TRUE
44,Jisoo,Kim Ji Soo,Blackpink,2016,TRUE
45,Jennie,Kim Jennie,Blackpink,2016,TRUE
46,Rosé,Park Chae Young,Blackpink,2016,TRUE
47,Lisa,,Blackpink,2016,TRUE
48,Irene,Bae Ju Hyun,Red Velvet,2014,TRUE
49,Wendy,Son Seung Wan,Red Velvet,2014,TRUE
50,Seulgi,Kang Seul Gi,Red Velvet,2014,TRUE
51,Joy ,Park Soo Young,Red Velvet,2014,TRUE
52,Yeri,Kim Ye Rim,Red Velvet,2014,TRUE
53,Taeyeon,Kim Tae Yeon,Snsd / Girl's Generation,2007,FALSE
54,Yuri,Kwon Yu Ri,Snsd / Girl's Generation,2007,FALSE
55,Hyoyeon,Kim Hyo Yeon,Snsd / Girl's Generation,2007,FALSE
56,Sunny,Lee Soon Kyu,Snsd / Girl's Generation,2007,FALSE
57,Yoona,Im Yoon-A,Snsd / Girl's Generation,2007,FALSE
58,Tiffany,Hwang Mi Young,Snsd / Girl's Generation,2007,FALSE
59,Sooyoung,Choi Soo Young,Snsd / Girl's Generation,2007,FALSE
60,Seohyun,Seo Joo Hyun,Snsd / Girl's Generation,2007,FALSE
61,Jessica,Jung Soo-yeon,Snsd / Girl's Generation,2007,FALSE
62,Leeteuk,Park Jung Soo,Suju / Super Junior,2005,TRUE
63,Heechul,Kim Hee Chul,Suju / Super Junior,2005,TRUE
64,Yesung,Kim Jong Woon,Suju / Super Junior,2005,TRUE
65,Shindong,Shin Dong Hee,Suju / Super Junior,2005,TRUE
66,Sungmin,Lee Sung Min,Suju / Super Junior,2005,TRUE
67,Eunhyuk,Lee Hyuk Jae,Suju / Super Junior,2005,TRUE
68,Siwon,Choi Si Won,Suju / Super Junior,2005,TRUE
69,Donghae,Lee Dong Hae,Suju / Super Junior,2005,TRUE
